Product (CSV Name),Website Product Name,Length,Size,Taper,Pack Type,Pack Quantity,Sub Category (Type),Product Type,Original Brand,Parent Company,Full Description,Key Features,Specs / Sizes,Certification,Source URL,Primary Image URL
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),21mm,19,0.02,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),21mm,20,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),21mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),21mm,25,0.06,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),21mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),25mm,19,0.02,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),25mm,20,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),25mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),25mm,25,0.06,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),25mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
M3 Safe Path,M3 Safe Path,21mm,10,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,21mm,13,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,21mm,16,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,21mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,25mm,10,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,25mm,13,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,25mm,16,2% VT,,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 Safe Path,M3 Safe Path,25mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Glide Path File,UDG,Bondent,"M3 Safe Path is a NiTi glide path file system with three models (#10vt, #13vt, #16vt). Mirror-level shank surface with ISO colour coding for easy identification. Improves debris removal and reduces screw-in effect.","Models: #10vt, #13vt, #16vt; Mirror-level shank; ISO colour coded; Increased debris removal; Reduced screw-in effect","Sizes: #10 2%VT, #13 2%VT, #16 2%VT | Lengths: 21mm, 25mm | Pack of 6 files | Assorted pack available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-safe-path/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-62.jpg
M3 RT,M3 RT,16mm,20,,,Pack of 6 files,Preparation Files,NiTi Retreatment File,UDG,Bondent,M3 RT is the dedicated retreatment system for removing Gutta Percha from root canals. Features an efficient cutting tip that removes material in stepwise sections using continuous rotation.,Efficient cutting tip; Stepwise Gutta Percha removal; Continuous rotation; Available in 3 working lengths,"Sizes: #20 (16mm), #25 (18mm), #30 (22mm) | Assorted pack (20mm working length) | Pack of 6 files","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-rt/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-56.jpg
M3 RT,M3 RT,18mm,25,,,Pack of 6 files,Preparation Files,NiTi Retreatment File,UDG,Bondent,M3 RT is the dedicated retreatment system for removing Gutta Percha from root canals. Features an efficient cutting tip that removes material in stepwise sections using continuous rotation.,Efficient cutting tip; Stepwise Gutta Percha removal; Continuous rotation; Available in 3 working lengths,"Sizes: #20 (16mm), #25 (18mm), #30 (22mm) | Assorted pack (20mm working length) | Pack of 6 files","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-rt/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-56.jpg
M3 RT,M3 RT,22mm,30,,,Pack of 6 files,Preparation Files,NiTi Retreatment File,UDG,Bondent,M3 RT is the dedicated retreatment system for removing Gutta Percha from root canals. Features an efficient cutting tip that removes material in stepwise sections using continuous rotation.,Efficient cutting tip; Stepwise Gutta Percha removal; Continuous rotation; Available in 3 working lengths,"Sizes: #20 (16mm), #25 (18mm), #30 (22mm) | Assorted pack (20mm working length) | Pack of 6 files","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-rt/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-56.jpg
M3 RT,M3 RT,20mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Retreatment File,UDG,Bondent,M3 RT is the dedicated retreatment system for removing Gutta Percha from root canals. Features an efficient cutting tip that removes material in stepwise sections using continuous rotation.,Efficient cutting tip; Stepwise Gutta Percha removal; Continuous rotation; Available in 3 working lengths,"Sizes: #20 (16mm), #25 (18mm), #30 (22mm) | Assorted pack (20mm working length) | Pack of 6 files","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-rt/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-56.jpg
3D Max,3D Max,,10,,Assorted,Pack of 4 files,Preparation Files,NiTi Rotary File,UDG,Bondent,3D Max rotary file system. Pack of 4 files (assorted size #10). Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Assorted pack of 4 files,Size: #10 | Pack of 4 files,,,
Supliable,Supliable,19mm,17,0.08,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,15,0.03,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,20,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,30,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,35,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,21mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,15,0.03,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,20,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,30,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,35,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Supliable,Supliable,25mm,,,Assorted,Pack of 6 files,Preparation Files,NiTi Rotary File,UDG,Bondent,Supliable NiTi rotary file system. Available in multiple tapers and lengths. Exact product page not currently published on bondent.eu — confirm details directly with Bondent.,Multiple size / taper combinations; Available in 19mm and 21mm / 25mm lengths,"Sizes: #17/8%, #15/3%, #20/4%, #25/4%, #30/4%, #35/4% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted pack available",,,
Platinum V.EU,Platinum V.EU,19mm,17,0.12,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,19mm,15,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,19mm,20,0.05,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,19mm,25,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,19mm,25,0.06,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
Platinum V.EU,Platinum V.EU,19mm,30,0.04,,Pack of 6 files,Preparation Files,NiTi Rotary File – Premium EU Edition,UDG,Bondent,Platinum V.EU is a premium NiTi rotary file system designed by European KOLs. Features a patented S cross-section with flat design — the perfect compromise between cutting efficiency and debris removal. Innovative polishing and nano coating strengthen cyclic fatigue resistance; new heat treatment improves flexibility.,Designed by European KOLs; Patented S cross-section with flat design; Nano coating for cyclic fatigue resistance; Heat treated for flexibility; Specific side-cutting reduces screw-in effect,"Sizes: #17/12%, #15/4%, #20/5%, #25/4%, #25/6%, #30/4% | Lengths: 19mm (opener), 21mm, 25mm | Pack of 6 files | Assorted pack","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/platinum-v-eu/,https://bondent.eu/wp-content/uploads/2022/10/platinum-image-clean.png
